Sample	SBS10a	SBS1	SBS29	SBS3	SBS26	SBS19	SBS15	SBS10b	SBS6	SBS30	SBS13	SBS7a	SBS44	SBS5	SBS2
TCGA-EW-A1OZ-01A-11D-A142-09	0	19	0	0	0	0	0	0	0	0	0	0	0	48	0
TCGA-GM-A2D9-01A-11D-A18P-09	0	18	0	0	0	0	0	0	0	0	243	0	0	69	323
TCGA-GM-A2DH-01A-11D-A17W-09	0	11	0	71	0	0	0	0	0	0	72	0	0	34	36
TCGA-GM-A2DO-01A-11D-A19Y-09	0	10	0	0	0	0	0	0	0	0	83	0	0	34	93
TCGA-GM-A3NW-01A-21D-A228-09	0	16	0	0	0	0	0	0	0	0	33	0	0	25	24
TCGA-JL-A3YX-01A-11D-A22X-09	0	10	0	0	0	0	0	0	0	0	0	0	0	22	14
TCGA-LD-A74U-01A-13D-A33E-09	0	22	0	0	0	0	0	0	0	0	112	0	0	51	173
TCGA-LL-A5YL-01A-12D-A29N-09	0	15	0	0	0	0	0	0	0	0	11	0	0	40	27
TCGA-OL-A5DA-01A-11D-A27P-09	0	11	0	0	0	0	0	0	0	0	34	0	0	41	31
TCGA-OL-A5RZ-01A-11D-A28B-09	0	32	25	0	0	0	0	0	0	0	10	0	0	73	12
TCGA-PE-A5DD-01A-12D-A27P-09	0	11	0	0	0	0	0	0	0	0	15	0	0	36	25
TCGA-PE-A5DE-01A-11D-A27P-09	0	26	0	0	0	0	0	0	0	0	224	0	0	91	360
TCGA-WT-AB41-01A-11D-A41F-09	0	11	0	0	0	0	0	0	0	0	0	0	0	32	20
TCGA-XX-A89A-01A-11D-A36J-09	0	18	0	0	0	0	0	0	0	0	137	0	0	39	73
TCGA-Z7-A8R6-01A-11D-A41F-09	0	15	0	0	0	0	0	0	0	0	23	0	0	34	36
PD4132a	0	16	0	0	0	0	0	0	0	0	37	0	0	39	27
TK04_DCIS1	0	136	0	0	0	0	0	0	0	0	75	0	0	402	58
TK08_LCIS1	0	13	0	0	0	0	0	0	0	0	0	0	0	15	0
