Sample	SBS1	SBS29	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS4	SBS17a	SBS17b	SBS5	SBS2
LUAD-CHTN-3090346	28	0	0	0	0	0	0	0	0	57	0	0	0	307	66
LUAD-CHTN-MAD04-00674	19	0	0	0	0	26	0	0	0	0	0	0	0	63	0
LUAD-CHTN-MAD06-00668	26	0	0	0	0	0	0	0	0	102	1443	0	0	551	56
LUAD-CHTN-Z4716A	15	0	0	0	0	0	0	0	0	0	723	0	0	410	0
LUAD-D01603	10	0	0	0	0	0	0	0	0	0	546	0	0	267	0
LUAD-E00897	22	0	0	0	0	0	0	0	0	38	272	0	0	135	130
LUAD-F00121	17	0	0	0	0	0	0	0	0	0	217	0	0	68	0
LUAD-F00162	34	0	0	0	0	0	0	0	0	17	426	0	0	174	29
LUAD-F00257	18	0	0	0	0	0	0	0	0	16	115	0	0	134	0
LUAD-F00282	18	0	0	0	0	0	0	0	0	55	263	0	0	140	31
LUAD-F00365	16	0	0	0	0	0	0	0	0	21	257	0	0	188	0
LUAD-F00368	18	0	0	0	0	0	0	0	0	44	474	0	0	218	32
LUAD-LIP77	11	0	0	0	0	0	0	0	0	68	291	0	0	132	38
LUAD-NYU1021	12	0	0	0	0	0	0	0	0	24	112	0	0	77	0
LUAD-NYU1101	11	0	0	0	0	0	0	0	0	0	66	0	0	59	0
LUAD-NYU201	21	0	0	0	0	0	0	0	0	12	122	0	0	73	16
LUAD-NYU284	20	0	0	0	0	0	0	0	0	118	436	0	0	179	62
LUAD-RT-S01477	17	0	0	0	0	0	0	0	0	58	140	0	0	88	75
LUAD-RT-S01702	182	0	0	0	0	0	0	0	250	0	0	0	0	158	0
LUAD-RT-S01721	13	0	0	0	0	0	0	0	0	0	229	0	0	171	0
LUAD-RT-S01774	16	0	0	0	0	0	0	0	0	10	231	0	0	105	17
LUAD-RT-S01777	34	0	0	0	0	0	0	0	0	0	490	0	0	238	0
LUAD-RT-S01831	20	0	0	0	0	0	0	0	0	49	146	0	0	91	24
LUAD-S01306	18	0	0	0	0	0	0	0	0	17	208	0	0	131	32
LUAD-S01315	23	0	0	0	0	0	0	0	0	569	963	0	0	272	293
LUAD-S01357	18	0	0	0	0	0	0	0	0	79	1045	0	0	490	50
LUAD-S01409	11	0	0	0	0	0	0	0	0	36	326	0	0	251	27
LUAD-S01413	17	0	0	0	0	0	0	0	0	0	284	0	0	118	0
LUAD_E00522	26	0	0	0	0	0	0	0	0	135	763	0	0	234	86
LUAD_E00565	13	0	0	0	0	0	0	0	0	87	403	0	0	231	73
LUAD_E00623	15	0	0	0	0	0	0	0	0	0	566	0	0	305	0
23D-T	17	0	0	0	0	0	0	0	0	0	0	0	0	1036	0
25D-T	32	0	0	0	0	0	0	0	0	0	0	0	0	1661	0
28D-T	66	0	0	0	0	0	0	0	0	0	0	0	0	1654	0
2D-T	51	0	0	0	0	0	0	0	0	0	0	0	0	819	0
31D-T	2877	0	0	0	0	0	0	0	0	0	0	0	0	32393	0
36D-T	40	0	0	0	0	0	0	0	0	0	0	0	0	1388	0
40D-T	75	0	0	0	0	0	0	0	0	0	0	0	0	1230	0
41D-T	23	0	0	0	0	0	0	0	0	0	0	0	0	830	0
5D-T	20	0	0	0	0	0	0	0	0	0	0	0	0	947	0
KU-18T	39	0	0	0	0	0	0	0	0	51	0	0	0	928	16
KU-1T	10	0	0	0	0	0	0	0	0	0	0	0	0	780	0
KU-25T	34	0	0	0	0	0	0	0	0	0	0	0	0	751	0
KU-32T	41	0	0	0	0	0	0	0	0	0	0	0	0	1174	0
KU-4T	47	0	0	0	0	0	0	0	0	0	0	0	0	1360	0
TCGA-97-7937-01A-11D-2167-08	0	179	0	0	0	0	0	0	0	0	0	0	0	246	0
TCGA-78-8660-01A-11D-2393-08	0	0	85	0	0	0	0	0	0	21	0	0	0	155	24
TCGA-17-Z033-01A-01W-0746-08	0	0	0	149	0	0	0	0	0	0	0	0	0	0	25
TCGA-64-1681-01A-11D-2063-08	0	0	0	45	0	0	0	0	0	16	0	0	0	12	12
TCGA-55-6980-01A-11D-1945-08	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0
TCGA-75-7025-01A-12D-1945-08	0	0	0	0	0	10	0	0	0	0	0	0	0	18	0
TCGA-95-7567-01A-11D-2063-08	0	0	0	0	0	182	0	0	0	0	0	0	0	801	0
TCGA-78-7163-01A-12D-2063-08	0	0	0	0	0	0	10	0	0	0	0	0	0	12	0
LUAD-B01970	0	0	0	0	0	0	0	49	0	27	0	26	44	105	37
TCGA-05-4250-01A-01D-1105-08	0	0	0	0	0	0	0	0	0	24	203	0	0	162	29
TCGA-05-4402-01A-01D-1265-08	0	0	0	0	0	0	0	0	0	55	0	0	0	60	41
TCGA-05-5425-01A-02D-1625-08	0	0	0	0	0	0	0	0	0	37	406	0	0	246	0
TCGA-17-Z022-01A-01W-0746-08	0	0	0	0	0	0	0	0	0	114	882	0	0	395	126
TCGA-17-Z023-01A-01W-0746-08	0	0	0	0	0	0	0	0	0	42	195	0	0	215	15
TCGA-17-Z026-01A-01W-0746-08	0	0	0	0	0	0	0	0	0	295	0	0	0	481	311
TCGA-17-Z028-01A-01W-0746-08	0	0	0	0	0	0	0	0	0	38	311	0	0	216	32
TCGA-17-Z045-01A-01W-0746-08	0	0	0	0	0	0	0	0	0	35	525	0	0	253	0
TCGA-17-Z049-01A-01W-0746-08	0	0	0	0	0	0	0	0	0	30	440	0	0	183	23
TCGA-17-Z056-01A-01W-0747-08	0	0	0	0	0	0	0	0	0	52	276	0	0	239	65
TCGA-17-Z059-01A-01W-0747-08	0	0	0	0	0	0	0	0	0	19	109	0	0	44	19
TCGA-35-5375-01A-01D-1625-08	0	0	0	0	0	0	0	0	0	27	214	0	0	239	17
TCGA-38-4626-01A-01D-1553-08	0	0	0	0	0	0	0	0	0	15	240	0	0	66	0
TCGA-44-2662-01A-01D-A271-08	0	0	0	0	0	0	0	0	0	89	0	0	0	116	67
TCGA-44-2668-01A-01D-A271-08	0	0	0	0	0	0	0	0	0	30	271	0	0	94	38
TCGA-44-6144-01A-11D-1753-08	0	0	0	0	0	0	0	0	0	14	146	0	0	99	0
TCGA-44-6777-01A-11D-1855-08	0	0	0	0	0	0	0	0	0	48	0	0	0	293	53
TCGA-44-7660-01A-11D-2063-08	0	0	0	0	0	0	0	0	0	33	166	0	0	267	0
TCGA-44-7661-01A-11D-2063-08	0	0	0	0	0	0	0	0	0	45	237	0	0	71	23
TCGA-44-7662-01A-11D-2063-08	0	0	0	0	0	0	0	0	0	43	393	0	0	216	37
TCGA-44-A4SS-01A-11D-A24P-08	0	0	0	0	0	0	0	0	0	43	285	0	0	227	25
TCGA-49-4487-01A-21D-1855-08	0	0	0	0	0	0	0	0	0	42	247	0	0	128	24
TCGA-49-4514-01A-21D-1855-08	0	0	0	0	0	0	0	0	0	61	0	0	0	226	58
TCGA-49-6743-01A-11D-1855-08	0	0	0	0	0	0	0	0	0	115	0	0	0	562	108
TCGA-49-6761-01A-31D-1945-08	0	0	0	0	0	0	0	0	0	36	0	0	0	94	47
TCGA-49-6767-01A-11D-1855-08	0	0	0	0	0	0	0	0	0	25	407	0	0	147	15
TCGA-49-AAR4-01A-12D-A410-08	0	0	0	0	0	0	0	0	0	58	411	0	0	164	59
TCGA-49-AARE-01A-11D-A410-08	0	0	0	0	0	0	0	0	0	46	1139	0	0	375	57
TCGA-49-AARQ-01A-11D-A410-08	0	0	0	0	0	0	0	0	0	51	583	0	0	167	50
TCGA-50-5044-01A-21D-1855-08	0	0	0	0	0	0	0	0	0	70	0	0	0	56	52
TCGA-50-5066-01A-01D-1625-08	0	0	0	0	0	0	0	0	0	14	170	0	0	144	13
TCGA-50-5931-01A-11D-1753-08	0	0	0	0	0	0	0	0	0	16	196	0	0	141	0
TCGA-50-5935-01A-11D-1753-08	0	0	0	0	0	0	0	0	0	29	0	0	0	57	32
TCGA-50-5936-01A-11D-1625-08	0	0	0	0	0	0	0	0	0	27	0	0	0	80	32
TCGA-50-5941-01A-11D-1753-08	0	0	0	0	0	0	0	0	0	28	283	0	0	167	12
TCGA-50-5946-01A-11D-1753-08	0	0	0	0	0	0	0	0	0	94	0	0	0	456	61
TCGA-50-6590-01A-12D-1855-08	0	0	0	0	0	0	0	0	0	124	597	0	0	270	85
TCGA-50-6594-01A-11D-1753-08	0	0	0	0	0	0	0	0	0	32	433	0	0	139	24
TCGA-55-1592-01A-01D-0969-08	0	0	0	0	0	0	0	0	0	36	249	0	0	369	28
TCGA-55-1594-01A-01D-1040-01	0	0	0	0	0	0	0	0	0	41	0	0	0	131	32
TCGA-55-5899-01A-11D-1625-08	0	0	0	0	0	0	0	0	0	53	283	0	0	125	64
TCGA-55-6968-01A-11D-1945-08	0	0	0	0	0	0	0	0	0	235	0	0	0	230	194
TCGA-55-7570-01A-11D-2036-08	0	0	0	0	0	0	0	0	0	72	180	0	0	192	29
TCGA-55-7574-01A-11D-2036-08	0	0	0	0	0	0	0	0	0	88	0	0	0	186	53
TCGA-55-7727-01A-11D-2167-08	0	0	0	0	0	0	0	0	0	45	0	0	0	153	60
TCGA-55-7911-01A-11D-2167-08	0	0	0	0	0	0	0	0	0	15	143	0	0	104	0
TCGA-55-7995-01A-11D-2184-08	0	0	0	0	0	0	0	0	0	49	424	0	0	289	53
TCGA-55-8205-01A-11D-2238-08	0	0	0	0	0	0	0	0	0	125	0	0	0	341	73
TCGA-55-8208-01A-11D-2238-08	0	0	0	0	0	0	0	0	0	106	0	0	0	240	90
TCGA-55-8301-01A-11D-2284-08	0	0	0	0	0	0	0	0	0	24	153	0	0	147	0
TCGA-55-8510-01A-11D-2393-08	0	0	0	0	0	0	0	0	0	24	257	0	0	87	11
TCGA-55-A48X-01A-11D-A24D-08	0	0	0	0	0	0	0	0	0	20	294	0	0	121	14
