Sample	SBS1	SBS24	SBS29	SBS22	SBS3	SBS18	SBS31	SBS26	SBS40	SBS9	SBS19	SBS28	SBS6	SBS30	SBS14	SBS12	SBS4	SBS17a	SBS17b	SBS35	SBS16	SBS5
Sample090	20	2040	0	0	2381	1143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2741
mod_sample116	121	0	0	0	1213	594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1673
mod_sample146	1670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15313
mod_sample152	1723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15529
mod_sample156	1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14137
mod_sample17	26	0	0	0	1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1813
mod_sample27	1607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15441
mod_sample53	36	0	0	984	0	457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2378
mod_sample62	26	375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	387	0	2596
sample101	16	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1375
sample158	1712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14569
sample165	1750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15267
sample166	1636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12421
sample179	57	0	0	0	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1062
sample186	88	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	195	2341
sample200	35	0	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1855
sample207	48	0	0	0	759	328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1557
sample21	40	0	0	0	781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	745
sample25	1209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14498
sample268	36	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2071
sample272	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	367
sample45	22	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1576
sample49	29	0	0	0	1366	464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2165
sample70	22	0	805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2560
Sample029	0	1900	0	0	3550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3110
Sample035	0	801	0	0	1024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1354
Sample067	0	1793	0	1306	0	676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3137
Sample113	0	884	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1165
Sample169	0	1018	2350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2520
mod_sample115	0	367	0	760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	311	2826
mod_sample126	0	347	0	0	1169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1560
sample181	0	446	0	0	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2806
sample182	0	593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	666	3681
sample203	0	1414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4642
SP50177	0	0	749	1711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7891
SP97685	0	0	1229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1839	6806
SP49247	0	0	1891	2188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11066
SP49328	0	0	1430	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9396
SP49417	0	0	1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9182
SP49157	0	0	1504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11791
SP98096	0	0	1795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11759
SP49385	0	0	961	0	0	0	0	0	2204	0	0	0	0	0	0	0	0	0	0	0	0	5729
SP98861	0	0	2397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14240
