Sample	SBS10a	SBS1	SBS36	SBS21	SBS18	SBS40	SBS20	SBS15	SBS10b	SBS28	SBS6	SBS13	SBS14	SBS17a	SBS17b	SBS44	SBS5	SBS2
TCGA-D7-A4Z0-01A-22D-A25D-08	0	38	0	0	0	0	0	0	0	0	0	0	0	92	186	0	49	0
TCGA-D7-A6EV-01A-11D-A31L-08	0	65	0	0	0	0	0	0	0	0	0	0	0	0	15	0	122	0
TCGA-D7-A6EY-01A-21D-A31L-08	0	368	0	0	0	0	140	224	0	0	0	0	0	0	0	0	590	0
TCGA-D7-A6EZ-01A-11D-A31L-08	0	37	0	0	0	142	0	0	0	0	0	30	0	0	0	0	82	0
TCGA-D7-A747-01A-22D-A33T-08	0	18	0	0	0	0	0	0	0	0	0	0	0	0	39	0	60	0
TCGA-D7-A74A-01A-11D-A32N-08	0	50	0	0	0	0	0	0	0	0	0	59	0	0	0	0	63	24
TCGA-EQ-8122-01A-11D-2340-08	0	45	0	0	0	74	0	0	0	0	34	0	0	0	0	0	57	17
TCGA-F1-6177-01A-11D-1800-08	0	718	0	0	0	0	208	0	0	0	0	0	0	0	0	0	487	0
TCGA-F1-6874-01A-11D-1882-08	0	375	0	0	0	0	228	0	0	0	0	0	0	0	0	0	399	0
TCGA-F1-A448-01A-11D-A24D-08	0	255	0	0	0	0	96	84	0	0	0	0	0	0	0	0	157	0
TCGA-F1-A72C-01A-21D-A33T-08	0	24	0	0	0	19	0	0	0	0	0	0	0	0	0	0	13	0
TCGA-FP-7829-01A-11D-2053-08	0	72	0	0	0	163	0	0	0	0	41	0	0	0	0	0	37	0
TCGA-FP-7916-01A-11D-2201-08	0	54	0	0	0	40	0	0	0	0	0	0	0	0	0	0	32	0
TCGA-FP-8099-01A-11D-2340-08	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0
TCGA-FP-A4BE-01A-12D-A24D-08	0	874	0	0	0	0	314	0	0	0	0	0	0	0	0	0	478	0
TCGA-FP-A4BF-01A-12D-A24D-08	0	49	0	0	0	44	0	0	0	0	0	0	0	0	0	0	32	0
TCGA-FP-A9TM-01A-11D-A397-08	0	80	0	0	0	80	0	0	0	0	0	0	0	0	0	0	50	0
TCGA-HF-7132-01A-11D-2053-08	0	507	0	0	0	0	206	249	0	0	0	0	0	0	0	0	433	0
TCGA-HF-7134-01A-11D-2053-08	0	97	0	0	0	146	0	0	0	0	0	0	0	23	57	0	28	0
TCGA-HF-A5NB-01A-11D-A31L-08	0	487	0	0	0	0	0	257	0	0	0	0	0	0	0	0	632	0
TCGA-HJ-7597-01A-21D-2201-08	0	461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	426	0
TCGA-HU-8238-01A-11D-2340-08	0	44	0	0	0	0	0	0	0	0	0	0	0	10	29	0	100	14
TCGA-HU-8243-01A-11D-2340-08	0	62	0	0	0	0	0	0	0	0	0	11	0	0	0	0	87	0
TCGA-HU-8244-01A-11D-2340-08	0	94	0	0	0	51	0	0	0	0	0	0	0	0	0	0	28	0
TCGA-HU-8249-01A-11D-2340-08	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0
TCGA-HU-8602-01A-11D-2394-08	0	844	0	0	0	0	321	0	0	0	0	0	0	0	0	0	437	0
TCGA-HU-8604-01A-11D-2394-08	0	76	0	0	0	0	0	0	0	0	0	0	0	0	24	0	155	0
TCGA-HU-A4G3-01A-11D-A24D-08	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0
TCGA-HU-A4G8-01A-11D-A25D-08	0	631	0	0	0	0	0	177	0	0	0	0	0	0	0	0	841	0
TCGA-HU-A4G9-01A-11D-A24D-08	0	384	0	0	0	0	112	0	0	0	0	0	0	0	0	0	263	0
TCGA-HU-A4GC-01A-12D-A25D-08	0	77	0	0	0	0	0	0	0	0	0	0	0	10	0	0	76	0
TCGA-HU-A4GF-01A-11D-A24D-08	0	43	0	0	0	0	0	0	0	0	0	0	0	0	14	0	106	0
TCGA-HU-A4GH-01A-11D-A24D-08	0	16	0	0	0	0	0	0	0	0	0	0	0	216	504	0	219	0
TCGA-HU-A4GN-01A-11D-A25D-08	0	432	0	0	0	0	224	206	0	0	0	0	0	0	0	0	458	0
TCGA-HU-A4GP-01A-11D-A25D-08	0	69	0	0	0	110	0	15	0	0	0	0	0	0	0	0	70	0
TCGA-HU-A4GQ-01A-11D-A25D-08	0	1052	0	0	0	0	340	0	0	0	0	0	0	0	0	0	669	0
TCGA-HU-A4GT-01A-21D-A25D-08	0	414	0	0	0	0	232	189	0	0	0	0	0	0	0	0	406	0
TCGA-HU-A4GU-01A-11D-A25D-08	0	20	0	0	0	0	0	1205	0	0	0	0	0	0	0	0	521	0
TCGA-HU-A4GX-01A-12D-A25D-08	0	656	0	0	0	0	230	0	0	0	0	0	0	0	0	0	486	0
TCGA-HU-A4GY-01A-21D-A24D-08	0	45	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-HU-A4H2-01A-11D-A25D-08	0	68	0	0	0	65	0	0	0	0	0	0	0	0	14	0	73	0
TCGA-HU-A4H3-01A-21D-A25D-08	0	305	0	0	0	0	190	108	0	0	0	0	0	0	0	0	389	0
TCGA-HU-A4H4-01A-21D-A25D-08	0	111	0	160	0	0	86	72	0	0	0	0	0	33	35	0	221	0
TCGA-HU-A4H6-01A-11D-A25D-08	0	69	0	0	0	55	0	0	0	0	0	0	0	0	0	0	27	0
TCGA-HU-A4H8-01A-11D-A25D-08	0	586	0	0	0	0	0	234	0	0	0	0	0	0	0	0	495	0
TCGA-HU-A4HD-01A-11D-A25D-08	0	48	0	0	0	120	0	0	0	0	0	0	0	0	0	0	45	11
TCGA-IN-7808-01A-11D-2201-08	0	45	0	0	0	0	0	0	0	0	0	0	0	10	0	0	72	0
TCGA-IN-8462-01A-11D-2340-08	0	45	0	0	0	75	0	0	0	0	0	0	0	0	0	0	26	0
TCGA-IN-8663-01A-11D-2394-08	0	45	0	0	0	0	0	0	0	0	0	0	0	18	40	0	128	0
TCGA-IN-A6RI-01A-11D-A32N-08	0	25	0	0	0	0	0	0	0	0	0	0	0	14	24	0	67	0
TCGA-IN-A6RL-01A-11D-A32N-08	0	40	0	0	0	253	0	0	0	0	0	0	0	12	24	0	118	0
TCGA-IN-A6RO-01A-12D-A33T-08	0	69	0	0	0	170	0	0	0	0	0	25	0	0	15	0	70	16
TCGA-IN-A6RP-01A-21D-A33T-08	0	73	0	0	0	0	0	0	0	0	0	14	0	0	0	0	94	21
TCGA-IN-A6RR-01A-12D-A32N-08	0	49	0	0	0	0	0	0	0	0	0	0	0	12	20	0	105	13
TCGA-IN-A6RS-01A-12D-A34U-08	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0
TCGA-IN-A7NR-01A-11D-A34U-08	0	23	0	0	0	0	0	0	0	0	0	0	0	0	26	0	58	0
TCGA-IN-A7NT-01A-21D-A34U-08	0	36	0	0	0	33	0	0	0	0	0	0	0	16	14	0	25	0
TCGA-IN-A7NU-01A-22D-A34U-08	0	33	0	0	0	31	0	0	0	0	0	0	0	0	12	0	32	0
TCGA-IN-AB1X-01A-11D-A397-08	0	32	0	0	0	54	0	0	0	0	0	0	0	0	12	0	40	0
TCGA-IP-7968-01A-11D-2201-08	0	66	0	0	0	46	0	0	0	0	0	0	0	0	0	0	24	0
TCGA-KB-A93H-01A-11D-A397-08	0	73	0	0	0	0	0	0	0	0	0	0	0	12	25	0	180	0
