Sample	SBS1	SBS34	SBS3	SBS21	SBS18	SBS26	SBS40	SBS9	SBS37	SBS30	SBS13	SBS17a	SBS17b	SBS8	SBS41	SBS44	SBS5	SBS39	SBS2
PD8611a	259	0	4086	0	0	0	0	0	0	0	821	0	0	0	0	0	1357	0	202
PD8612a	371	94	728	0	0	0	0	0	0	0	68	0	0	0	0	0	502	0	180
PD8614a	160	0	383	0	138	0	0	0	0	0	0	0	0	0	0	0	690	0	63
PD8615a	315	0	1197	0	0	0	0	0	0	0	1312	0	0	0	0	0	781	0	653
PD8617a	235	0	564	0	0	0	0	0	0	0	0	0	0	0	0	0	1040	0	48
PD8619a	416	0	1010	0	321	0	0	0	0	0	221	0	0	0	386	0	1040	0	136
PD8620a	177	0	0	0	0	0	0	0	0	0	889	0	0	0	0	0	930	0	651
PD8621a	383	0	5231	0	0	0	0	0	0	0	474	0	0	0	519	0	1089	0	174
PD8652a2	736	0	10244	0	0	0	0	0	0	0	1448	0	0	0	0	0	2685	0	515
PD8660a2	1286	0	11777	0	0	0	0	0	0	0	2567	0	0	0	2709	0	5369	0	2172
PD8828a	259	0	0	0	0	0	0	0	0	0	331	0	0	0	0	0	1138	0	333
PD8832a	513	0	0	0	0	0	0	0	0	0	783	0	0	7607	1851	0	7465	7353	403
PD8969a	313	0	3297	0	518	0	0	0	0	0	810	0	0	0	0	0	1304	0	470
PD8973a	446	0	0	0	0	0	0	0	0	0	2298	0	0	0	0	0	1650	0	1491
PD8977a	936	207	0	0	382	0	0	0	0	0	78	0	0	0	0	0	2296	0	123
PD8978a	488	0	3536	0	0	0	0	0	0	0	383	0	0	0	715	0	1197	0	189
PD8979a	457	0	1279	0	0	0	0	0	0	244	137	0	0	0	422	0	1242	0	226
PD8980a	646	0	10635	0	0	0	0	0	0	0	1124	0	0	0	0	0	1746	0	926
PD8981a	253	61	467	0	204	0	0	0	0	0	81	0	0	0	0	0	549	0	129
PD8982a	712	0	11725	0	0	0	0	0	0	0	5242	0	0	0	0	0	1794	0	1824
PD8984a	488	0	6065	0	0	0	0	0	0	0	1031	0	0	0	0	0	1071	0	352
PD8995a	986	0	0	0	0	0	0	0	0	0	1771	0	0	0	0	0	2835	0	1952
PD8996a	557	0	926	0	458	0	0	0	0	0	65	0	0	0	0	0	1077	0	128
PD8997a	422	0	654	0	278	0	0	0	0	0	161	0	0	0	0	0	1159	0	137
