Sample	SBS10a	SBS1	SBS11	SBS31	SBS40	SBS15	SBS10b	SBS30	SBS42	SBS13	SBS5	SBS2
TCGA-76-4931-01A-01D-1486-08	0	34	0	0	15	0	0	0	0	0	16	0
TCGA-76-4932-01A-01D-1486-08	0	43	0	0	0	0	0	0	0	0	32	0
TCGA-76-6191-01A-12D-1696-08	0	25	0	0	0	0	0	0	0	0	44	0
TCGA-76-6280-01A-21D-1845-08	0	44	0	0	27	0	0	0	0	0	0	0
TCGA-76-6283-01A-11D-1845-08	0	51	0	0	48	0	0	0	0	0	24	0
TCGA-76-6285-01A-11D-1696-08	0	42	0	0	32	0	0	0	0	0	0	0
TCGA-76-6286-01A-11D-1845-08	0	51	0	0	39	0	0	0	0	0	0	0
TCGA-76-6656-01A-11D-1845-08	0	56	0	0	42	0	0	20	0	0	0	0
TCGA-76-6657-01A-11D-1845-08	0	25	0	0	0	0	0	14	0	0	31	0
TCGA-76-6660-01A-11D-1845-08	0	45	0	0	44	0	0	0	0	0	17	0
TCGA-76-6663-01A-11D-1845-08	0	41	0	0	31	0	0	0	0	0	0	0
TCGA-76-6664-01A-11D-1845-08	0	31	0	0	37	0	0	0	0	0	0	0
TCGA-81-5910-01A-11D-1696-08	0	28	0	0	0	0	0	0	0	0	30	0
TCGA-RR-A6KA-01A-21D-A33T-08	0	23	0	0	0	0	0	0	0	0	44	0
TCGA-RR-A6KB-01A-12D-A33T-08	0	25	0	0	0	0	0	0	0	0	35	0
TCGA-RR-A6KC-01A-31D-A33T-08	0	39	0	0	0	0	0	0	0	0	24	0
R002_Prim	0	32	0	0	0	0	0	0	0	0	34	0
R002_Recurrence	0	28	0	0	0	0	0	0	0	0	35	0
R005_Prim	0	34	0	0	0	0	0	0	0	0	41	0
R006_Recurrence	0	33	0	0	0	0	0	0	0	21	112	0
R010_Prim	0	13	74	0	0	0	0	33	0	0	23	0
R013_Prim	0	34	0	0	0	0	0	0	0	0	37	0
R014_Prim	0	309	0	0	0	0	0	0	0	0	20	0
R015_Prim	0	30	0	0	0	0	0	0	0	0	12	0
GBM_IV-20	0	26	0	0	0	0	0	0	0	0	38	0
P144	0	23	0	0	0	0	0	0	0	0	38	0
P146	0	22	0	0	0	0	0	0	0	0	19	0
P147	0	28	0	0	0	0	0	0	0	0	17	0
P148	0	24	0	0	0	0	0	0	0	0	18	0
SJHGG034_D	0	311	0	0	0	0	0	0	0	0	204	0
SJHGG093_A	0	0	0	0	0	0	0	0	78	0	59	0
